地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_現役軍人,0,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_民意代表、主管及經理人員,31,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_專業人員,181,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_技術員及助理專業人員,152,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_事務支援人員,58,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_服務及銷售人員,50,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_農、林、漁、牧業生產人員,4,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_技藝有關工作人員,44,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_機械設備操作及組裝人員,81,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),男_基礎技術工及勞力工,164,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,就業服務之求職、求才及推介就業人數-按職業分-求職人數-新登記(單位:人),女_現役軍人,0,2015-01-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
